[2022-09-21 22:20:01.855251] on (Linux-5.15.0-48-generic-x86_64-with-glibc2.29, x86_64) using (Train: 12500, Test: 2500)
--- [2022-09-21 22:22:35.045614] Running Parameter-Tests [SKLEARN-NN] ---
	Best parameters set found on following development set:
0.370 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.397 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.381 (+/-0.022)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.352 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.351 (+/-0.014)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.371 (+/-0.001)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.371 (+/-0.012)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.349 (+/-0.009)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.352 (+/-0.012)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.371 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.378 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.356 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.353 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.374 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.386 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.361 (+/-0.012)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.367 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.375 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.398 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.348 (+/-0.009)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.363 (+/-0.019)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.381 (+/-0.004)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.391 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.352 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.361 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.377 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.395 (+/-0.009)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.359 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.363 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.373 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.392 (+/-0.016)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.362 (+/-0.004)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.375 (+/-0.003)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.376 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.381 (+/-0.021)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 256, 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.382 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.355 (+/-0.014)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.403 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.372 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.389 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.353 (+/-0.018)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.404 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.365 (+/-0.016)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.388 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.353 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.419 (+/-0.009)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.375 (+/-0.012)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.389 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.356 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.416 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.384 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.393 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.355 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.414 (+/-0.012)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.377 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.392 (+/-0.009)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.363 (+/-0.009)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.408 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.376 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.392 (+/-0.012)	{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
